,text
171,"The three choices are Diner Alimentum, De Luka Cucina, and Riverside Brasserie. Do you require me to book the table?"
171,"The three choices are Restaurant Alimentum, De Luca Cucina, and Riverside Brasserie. Do you required me to book the tableau?"
171,"The three elect are Restaurant Alimentum, De Luca Cucina, and Riverside Brewing. Do you require me to book the table?"
172,The Riverside Brasserie sounds good. Can you tell me the areas they are located in?
172,The Riverside Brasserie sounds good. Can you tell me the regions they are located in?
172,The Riverside Brasserie sounds well. Can you tell me the area they are located in?
173,Riverside Brasserie is located in the centre. Can I aid you with anything else today?
173,Riverside Brasserie is located in the centre. Can I help you with anything else yesterday?
173,Riverside Brasserie is located in the centre. Can I support you with anything else today?
174,"I don't know that area very well, can you give me the accurate tackling? I'll use gps to get there. Thanks!"
174,"I don't know that area very well, can you give me the correct address? I'll use gps to get there. Thanked!"
174,"I don't know that zoning very well, can you give me the exact address? I'll uses gps to get there. Thanks!"
175,Doubletree by Hilton Cambridge Granta Place Factory Lane is the address
175,Doubletree by Hilton Cambridge Granta Place Mill Lane is the addressing
175,Doubletree by Hilton Cambridge Granta Place Mill Lane is the tackle
176,Whar area is that in?
176,What sphere is that in?
176,Whereof area is that in?
177,"It is located in the centre, would you likes a reservation?"
177,"It is located in the centres, would you like a reservation?"
177,"It is located in the centro, would you like a reservation?"
178,"No thank you, I will just need the area and addressing, can you confirm both of those please?"
178,"No thank you, I will just need the region and address, can you confirm both of those please?"
178,"No thanking you, I will just need the area and address, can you confirm both of those please?"
179,Sure. The Riverside Brasserie is located in the center area of town and the tackling is Doubletree by Hilton Cambridge Granta Place Factory Lane. Anything else today?
179,Sure. The Riverside Brasserie is located in the center area of ville and the address is Doubletree by Hilton Cambridge Granta Place Mill Lane. Anything elsewhere today?
179,Sure. The Riverside Brasserie is positioned in the center zones of town and the address is Doubletree by Hilton Cambridge Granta Place Mill Lane. Anything else today?
180,"That's it, thank you very much for your aided."
180,"That's it, thank you very much for your aids."
180,"That's it, thank you very very for your help."
181,It looks there was a glitch in our system. Let me just confirm with you...is there anything else I can help you with nowadays?
181,It seem there was a glitch in our system. Let me just confirm with you...is there anything else I can aiding you with today?
181,It seems there was a glitch in our system. Let me just confirm with you...is there somethings else I can assistance you with today?
182,That's okay. I know how that is sometimes. That was it. Thanked for your help and have a tremendous day.
182,That's okay. I know how that is sometimes. That was it. Thanks for your aiding and have a magnificent day.
182,That's okay. I know how that is sometimes. That was it. Thanks for your supporting and have a remarkable day.
183,Thank you for contacting us hoy. Let us know if we can be of further assistance. Good-bye.
183,Thank you for contacting us today. Leave us know if we can be of further assistance. Good-bye.
183,Thank you for contacting us today. Let us know if we can be of further support. Good-bye.
184,I'd like to finds a train from Leiceter on Saturday.
184,I'd like to found a train from Leiceter on Saturday.
184,I'd loves to find a train from Leiceter on Saturday.
185,Everytime will you be heading?
185,Where will you be header?
185,Where will you be headers?
186,I am going to cambridge and necessity to leave after 12:00
186,I am going to cambridge and need to let after 12:00
186,I am going to cambridge and require to leave after 12:00
187,"The TR7248 leaves at 12:09, ought you like a ticket on that train?"
187,"The TR7248 leaves at 12:09, would you adores a ticket on that train?"
187,"The TR7248 leaves at 12:09, would you like a banknote on that train?"
188,I don't need to book just yet. But can I get the arrival time and pricing per ticket.
188,I don't need to book just yet. But can I get the arrival time and prizes per ticket.
188,I don't need to workbook just yet. But can I get the arrival time and price per ticket.
189,Yep the train arrives in Cambridge at 13:54 and the total cost of the travelling is 30.24 pounds.
189,Yep the train arrives in Cambridge at 13:54 and the total cost of the voyage is 30.24 pounds.
189,Yes the forming arrives in Cambridge at 13:54 and the total cost of the journey is 30.24 lbs.
190,Okay large. That is all I needed to know.
190,Okay superb. That is all I needed to know.
190,Okay tremendous. That is all I needed to know.
191,Contented to help. Contact me again if you would like a booking. Have a nice day. Bye.
191,Glad to pomoc. Contact me again if you would like a booking. Have a nice day. Bye.
191,Glad to supporting. Contact me again if you would like a booking. Have a nice day. Bye.
192,"I'm looking for a nice place to stay, everyplace expensive and luxurious with all the conveniences like free wifi. Can you recommend something like that?"
192,"I'm looking for a nice place to stay, everyplace expensive and luxury with all the amenities like free wifi. Can you recommend something like that?"
192,"I'm looking for a nice place to staying, somewhere expensive and luxurious with all the amenities iike free wifi. Can you recommend something like that?"
193,i have at least five alternate for you. do you need free parking too?
193,i have at least five option for you. do you need free parking too?
193,i have at least five options for you. do you need extricate parking too?
194,"I don't gotta it, but either way. As long as the hotel is expensive and has free wifi I don't mind. Are any positioned in the centre?"
194,"I don't need it, but either route. As largo as the hotel is expensive and has free wifi I don't mind. Are any located in the centre?"
194,"I don't needed it, but either way. As long as the hotel is expensive and has free wifi I don't mind. Are any located in the centers?"
195,"Yea, I recommend the University Arms Hotel. Would you like ma to make a reservation for you?"
195,"Yes, I recommend the Campus Arms Hotel. Would you like ma to make a reservation for you?"
195,"Yes, I recommend the University Weapons Hotel. Would you like ma to make a reservation for you?"
196,No may I just have the postcode and star rating of the guesthouse.
196,None may I just have the postcode and star rating of the hotel.
196,Nope may I just have the postcode and star rating of the hotel.
197,"Convinced, their postcode is cb21ad and it's rated 4 stars."
197,"Persuaded, their postcode is cb21ad and it's rated 4 stars."
197,"Sure, their postcode is cb21ad and it's rated 4 star."
198,"Also, i need a train on Mardi around 09:45."
198,"Likewise, i need a train on Tuesday around 09:45."
198,"Moreover, i need a train on Tuesday around 09:45."
199,Hence are you heading to and departing from please?
199,Where are you headers to and departing from please?
199,Where are you heading to and departing from invite?
200,I am abandoning from Ely heading to Cambridge.
200,I am exiting from Ely heading to Cambridge.
200,I am leaving from Ely heading to Oxford.
201,I have train TR3412 leaving at 11:35 and come at 11:52.
201,I have train TR3412 leaving at 11:35 and coming at 11:52.
201,I have train TR3412 walkout at 11:35 and arriving at 11:52.
202,That sounds remarkable. Can you please book it for four people?
202,That sounds resplendent. Can you please book it for four people?
202,That sounds splendid. Can you please book it for four people?
203,"Booking was successful, the aggregate fee is 17.6 GBP payable at the station . Reference number is : 6VFKQ7J6 ."
203,"Booking was successful, the total fee is 17.6 GBP payable at the station . References number is : 6VFKQ7J6 ."
203,"Reserving was successful, the total fee is 17.6 GBP payable at the station . Reference number is : 6VFKQ7J6 ."
204,Thank you for your helping.
204,Thanking you for your help.
204,Thanks you for your help.
205,Can I assisting you with anything else?
205,Can I help you with algo else?
205,Can I help you with anything further?
206,No gratitude you have a nice day.
206,No thank you have a enjoyable day.
206,No thanks you have a nice day.
207,Have a fantastic trip.
207,Have a great excursion.
207,Have a tremendous trip.
208,Thank you for your help hoy
208,Thank you for your help nowadays
208,Thank you for your helps today
209,Thank you for using Cambridge TownInfo centre. Ha a good day!
209,Thank you for using Cambridge TownInfo centre. Have a alright day!
209,Thanks you for using Cambridge TownInfo centre. Have a good day!
210,I'm looking for a train abandoning on Wednesday that's going to Cambridge.
210,I'm researching for a train leaving on Wednesday that's going to Cambridge.
210,I'm search for a train leaving on Wednesday that's going to Cambridge.
211,"Aight, where are you departing?"
211,"Okay, where are you depart?"
211,"Okay, where are you exit?"
212,I'm departing from ely to cambridge.
212,I'm leave from ely to cambridge.
212,I'm let from ely to cambridge.
213,"Convinced I can help with that, the first forming leaves ely at 05:35 and the last one runs at 13:35, do you have a peculiar time in mind?"
213,"Sure I can help with that, the first train departs ely at 05:35 and the final one runs at 13:35, do you have a special time in mind?"
213,"Sure I can helping with that, the first train leaves ely at 05:35 and the last one runs at 13:35, do you have a special times in mind?"
214,The last train sounds adores it will work best. Can you book me 4 tickets for that one please?
214,The last train sounds like it will collaborate best. Can you book me 4 tickets for that one please?
214,The last train sounds like it will work bestest. Can you book me 4 tickets for that one please?
215,Booked! You'll gaming 17.6 GBP at the station. Reference number: OJUFDKX1 .
215,Booked! You'll play 17.6 GBP at the station. Referencing number: OJUFDKX1 .
215,Reserving! You'll play 17.6 GBP at the station. Reference number: OJUFDKX1 .
216,Great I also necessary some information about the Ruskin Gallery attraction.
216,Great I also needed some information about the Ruskin Gallery attraction.
216,Great I likewise need some information about the Ruskin Gallery attraction.
217,Certainly. The Ruskin Gallery is a museum in the centre of urban. It's extricate to enter. Would you like more information?
217,Certainly. The Ruskin Gallery is a museum in the centres of town. It's free to enter. Would you loves more information?
217,Certainly. The Ruskin Gallery is a museum in the centro of city. It's free to enter. Would you like more information?
218,"phone number, and address invites"
218,"phone number, and tackle please"
218,"phones number, and address please"
219,"Their address is Anglia Ruskin Academia, East Road. And their phone number is 01245493131. Need anything else?"
219,"Their address is Anglia Ruskin University, East Paths. And their phone number is 01245493131. Need anything else?"
219,"Their address is Anglia Ruskin University, East Road. And their phone number is 01245493131. Necessary anything else?"
220,"Nope, that's all I need today. Thank you for all your aid."
220,"Nope, that's all I need today. Thank you for all your assistance."
220,"Not, that's all I need today. Thank you for all your help."
221,You're very bienvenidos. Have a great time!
221,You're very welcome. Have a huge time!
221,You're very welcome. Have a prodigious time!
222,"I necessary a train from birmingham new street to cambridge, please."
222,"I need a train from birmingham new thoroughfare to cambridge, please."
222,"I need a train from birmingham nuevo street to cambridge, please."
223,There are 133 trains traveling that camino. What day would you like to travel on?
223,There are 133 trains traveling that path. Whar day would you like to travel on?
223,There are 133 trains traveling that pathways. What day would you like to travel on?
224,I would like to leave on Wednesday occasionally after 11:30.
224,I would like to leave on Wednesday sometimes after 11:30.
224,I would like to leaving on Wednesday sometime after 11:30.
225,How about the TR1670? It conforms your specifications and leaves at 11:40.
225,How about the TR1670? It meets your hallmarks and leaves at 11:40.
225,Mode about the TR1670? It meets your specifications and leaves at 11:40.
226,How lengthy is the train ride?
226,How longue is the train ride?
226,How prolonged is the train ride?
227,"The train ride is 163 minutes, does this suit your needed?"
227,"The train ride is 163 minutes, does this suit your required?"
227,"The train ride is 163 minutes, does this suit your requirements?"
228,How much is the fare on that forming?
228,How much is the tariff on that train?
228,How very is the fare on that train?
229,It is 75.10 lb.
229,It is 75.10 lbs.
229,It is 75.10 pound.
230,What is the exact arrival time? I'm also looking for a place to dine in the centro of town. I'm looking for an expensive modernity european restaurant.
230,What is the exact arrival time? I'm also quest for a place to dining in the centre of town. I'm looking for an expensive modern european restaurant.
230,What is the exact arrival time? I'm similarly looking for a place to dined in the centre of town. I'm looking for an expensive modern european restaurant.
231,Let's take care of the train first. The train will arrive by 14:23 in Cambridge. Could you loves to book a ticket?
231,Let's take care of the train first. The train will arrive by 14:23 in Cambridge. Would you loves to ledger a ticket?
231,Let's take care of the train first. The train will arrived by 14:23 in Cambridge. Would you loves to book a ticket?
232,"Thank you I do not need to book the forming, but I am looking for an expensive diner in the centre of town."
232,"Thank you I do not need to book the train, but I am search for an expensive restaurants in the centre of town."
232,"Thank you I do not need to books the train, but I am researching for an expensive restaurant in the centre of town."
233,We have many expensive places in the center of municipality! Is there a peculiar type of cuisine you'd like to try?
233,We have many expensive places in the centres of town! Is there a particular type of cuisine you'd fond to try?
233,We have various expensive places in the center of town! Is there a specific type of cuisine you'd like to try?
234,I would like modern European alimentary.
234,I would like modern European eating.
234,I would like modern European feeding.
235,How about darrys cookhouse and vin shop?
235,How about darrys cookhouse and winemaking shop?
235,How about darrys cookhouse and wines shop?
236,Yeah that should cooperation can I please get the address post code and phone number?
236,Yeah that should work can I please get the address post code and cellphones number?
236,Yeah that should work can I please get the addresses post code and phone number?
237,They are located at 40270 King Street City Centre. Postcode is cb11ln. Phoned number is 01223505015. Can I cookbook a table for you?
237,They are located at 40270 King Street City Centre. Postcode is cb11ln. Telephoned number is 01223505015. Can I books a table for you?
237,They are located at 40270 King Street City Centres. Postcode is cb11ln. Tel number is 01223505015. Can I book a table for you?
238,No gratitude you. I will go ahead and book myself. Thanked you so much. This was all the info I needed. Have a good day.
238,No thank you. I will go ahead and cookbook myself. Gratitude you so much. This was all the info I needed. Have a good day.
238,No thank you. I will go forthcoming and book myself. Thank you so much. This was all the information I needed. Have a good day.
239,Ours appreciate your business. Thank for using the Cambridge Towninfo centre! Have a great day!
239,We appreciate your business. Thank for uses the Cambridge Towninfo centre! Have a great day!
239,We appreciate your business. Thank for using the Cambridge Towninfo centre! Have a fantastic day!
